lib/appenders/clustered.js: line 14, col 106, Line is too long.
lib/appenders/clustered.js: line 26, col 108, Line is too long.
lib/appenders/clustered.js: line 29, col 117, Line is too long.
lib/appenders/clustered.js: line 60, col 102, Line is too long.
lib/appenders/clustered.js: line 77, col 6, Missing semicolon.
lib/appenders/clustered.js: line 84, col 113, Line is too long.
lib/appenders/clustered.js: line 103, col 6, Missing semicolon.
lib/appenders/clustered.js: line 117, col 112, Line is too long.

lib/appenders/multiprocess.js: line 99, col 128, Line is too long.
lib/appenders/multiprocess.js: line 99, col 3, Expected 'if' to have an indentation at 5 instead at 3.
lib/appenders/multiprocess.js: line 100, col 5, Expected 'loggingEvent' to have an indentation at 7 instead at 5.
lib/appenders/multiprocess.js: line 101, col 3, Expected '}' to have an indentation at 5 instead at 3.

lib/layouts.js: line 163, col 24, This function's cyclomatic complexity is too high. (6)

test/clusteredAppender-test.js: line 30, col 8, Missing semicolon.
test/clusteredAppender-test.js: line 112, col 102, Line is too long.
test/clusteredAppender-test.js: line 120, col 105, Line is too long.

test/multiprocess-test.js: line 78, col 1, Mixed spaces and tabs.
test/multiprocess-test.js: line 78, col 5, Expected 'appender' to have an indentation at 7 instead at 5.
test/multiprocess-test.js: line 104, col 111, Line is too long.
test/multiprocess-test.js: line 107, col 105, Line is too long.

20 errors
